City,lat,lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Mugur-Aksy,50.35,90.5,-21.27,78,0,2.3,RU,1644058851
Koslan,63.4564,48.8989,-12.62,95,79,1.69,RU,1644058851
Bredasdorp,-34.5322,20.0403,27.93,52,59,10.36,ZA,1644058851
Kaitangata,-46.2817,169.8464,12.74,79,83,0.92,NZ,1644058353
Moose Factory,51.2585,-80.6094,-30.01,76,0,1.03,CA,1644058367
Kariba,-16.5167,28.8,26.27,63,78,1.11,ZW,1644058644
Yulara,-25.2406,130.9889,29.91,17,0,3.6,AU,1644058358
Byron Bay,-28.65,153.6167,22.94,70,86,9.6,AU,1644058852
Swan Hill,-35.3378,143.5544,24.42,27,89,2.59,AU,1644058344
Barreirinha,-2.7933,-57.07,23.18,92,100,0.22,BR,1644058852
Rikitea,-23.1203,-134.9692,25.55,74,9,3.57,PF,1644058332
Hervey Bay,-25.2986,152.8535,22.06,73,47,11.53,AU,1644058853
Klaksvík,62.2266,-6.589,0.51,93,100,2.94,FO,1644058331
Kargasok,59.0556,80.8572,-4.55,94,100,3.28,RU,1644058854
Fukuechō,32.6881,128.8419,3.2,60,75,6.17,JP,1644058592
Pimentel,-6.8367,-79.9342,20.68,87,70,3.31,PE,1644058572
Pundaguitan,6.3711,126.1689,27.44,80,7,8.48,PH,1644058854
Agadir,30.4202,-9.5982,21.25,38,100,0.98,MA,1644058855
Comodoro Rivadavia,-45.8667,-67.5,14.24,58,0,3.33,AR,1644058856
Port Blair,11.6667,92.75,27.77,74,89,4.65,IN,1644058856
Aykhal,66.0,111.5,-31.76,100,76,2.67,RU,1644058857
Barrow,71.2906,-156.7887,-21.99,77,100,4.12,US,1644058331
Green River,41.5286,-109.4662,-1.03,70,43,2.47,US,1644058857
Visby,57.6409,18.296,3.36,87,40,6.69,SE,1644058857
Mount Gambier,-37.8333,140.7667,19.95,56,90,6.69,AU,1644058344
Kourou,5.1552,-52.6478,26.73,91,92,3.11,GF,1644058846
Mikhaylovka,50.06,43.2379,-5.12,90,89,4.67,RU,1644058858
Westport,41.1415,-73.3579,-3.44,83,100,1.34,US,1644058569
Thompson,55.7435,-97.8558,-39.91,74,40,0.0,CA,1644058352
Vanimo,-2.6741,141.3028,26.4,86,65,4.04,PG,1644058340
Caconda,-13.7333,15.0667,24.0,34,100,3.48,AO,1644058858
Pangody,65.85,74.4859,-22.08,100,78,2.31,RU,1644058859
Praia,14.9215,-23.5087,24.3,46,0,8.23,CV,1644058577
Loreto,22.2667,-101.9667,2.75,92,8,2.81,MX,1644058860
Saldanha,-33.0117,17.9442,33.03,56,17,5.6,ZA,1644058331
Uyuni,-20.4597,-66.825,5.7,34,18,3.41,BO,1644058860
Coahuayana Viejo,18.7333,-103.6833,18.32,68,1,1.77,MX,1644058860
Erzurum Province,40.0,41.5,-6.18,91,30,3.96,TR,1644058860
Provideniya,64.3833,-173.3,-19.49,87,1,4.13,RU,1644058335
Altay,47.8667,88.1167,-12.4,60,0,3.89,CN,1644058862
Avarua,-21.2078,-159.775,26.03,83,20,5.14,CK,1644058344
Atuona,-9.8,-139.0333,25.44,80,11,8.88,PF,1644058341
Greenwood,34.1668,-82.1165,4.04,78,40,0.0,US,1644058855
Sosenskiy,54.059,35.9623,-9.16,90,100,2.58,RU,1644058863
Cartagena,10.3997,-75.5144,23.58,86,6,3.66,CO,1644058864
Geraldton,-28.7667,114.6,31.23,37,0,6.69,AU,1644058108
Huarmey,-10.0681,-78.1522,20.68,89,61,2.56,PE,1644058864
San Fernando del Valle de Catamarca,-28.4696,-65.7852,20.99,74,0,1.39,AR,1644058864
Saint-Pierre,-21.3393,55.4781,29.82,66,100,1.54,RE,1644058865
Okato,-39.2,173.8833,20.51,97,100,3.69,NZ,1644058865
Nantucket,41.2835,-70.0995,-0.94,86,100,7.72,US,1644058865
San Quintín,30.4833,-115.95,11.81,41,8,0.83,MX,1644058865
Chingirlau,51.095,54.0814,-0.51,97,100,3.67,KZ,1644058865
Riyadh,24.6877,46.7219,20.12,20,0,6.33,SA,1644058831
Venustiano Carranza,19.43,-99.0992,11.67,68,6,2.24,MX,1644058866
Kumluca,36.3703,30.2869,12.6,64,0,2.42,TR,1644058866
Sangar,63.9242,127.4739,-36.41,99,95,1.23,RU,1644058867
Kitimat,54.0524,-128.6534,5.51,61,100,2.7,CA,1644058867
Abalak,58.1286,68.5944,-3.68,88,100,2.94,RU,1644058867
Francisco Beltrão,-26.0811,-53.055,21.1,99,100,1.09,BR,1644058867
Temyasovo,52.9933,58.1014,-11.8,94,100,3.71,RU,1644058867
Finschhafen,-6.6024,147.8681,27.66,85,81,5.08,PG,1644058868
Pilar,-9.5972,-35.9567,26.96,59,58,3.36,BR,1644058600
